a52dec 0.8.0-2
aalib 1.4rc5-17
abseil-cpp 20230802.1-1
accountsservice 23.13.9-1
acl 2.3.2-1
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-1
adwaita-cursors 45.0-1
adwaita-icon-theme 45.0-1
alacritty 0.13.1-1
alsa-card-profiles 1:1.0.4-1
alsa-lib 1.2.11-1
alsa-topology-conf 1.2.5.1-3
alsa-ucm-conf 1.2.11-1
aom 3.8.2-1
appstream 1.0.2-1
appstream-glib 0.8.2-4
arch-gdm-theme-list 0.1-2
archlinux-appstream-data 20240306-1
archlinux-keyring 20240313-1
argon2 20190702-5
aria2 1.37.0-1
aribb24 1.0.3-3
aribb25 0.2.7-2
arpack 3.9.1-2
asciidoc 10.2.0-4
at-spi2-core 2.50.2-1
atkmm 2.28.4-1
attica 6.0.0-1
attica5 5.115.0-1
attr 2.5.2-1
atuin 18.1.0-1
audit 4.0.1-2
auto-cpufreq 2.2.0-2
autoconf 2.72-1
autoconf-archive 1:2023.02.20-1
automake 1.16.5-2
avahi 1:0.8+r194+g3f79789-1
azote 1.12.5-1
base 3-2
base-devel 1-1
bash 5.2.026-2
bat 0.24.0-1
binutils 2.42-2
bison 3.8.2-6
blas 3.12.0-3
blueberry 1.4.8-1
bluez 5.73-4
bluez-libs 5.73-4
bluez-qt5 5.115.0-1
bluez-tools 0.2.0-5
bluez-utils 5.73-4
bolt 0.9.7-1
boost-libs 1.83.0-5
brave-beta-bin 1.65.83-1
breeze-icons 6.0.0-1
brial 1.2.12-2
brightnessctl 0.5.1-2
brotli 1.1.0-1
btop 1.3.2-1
bubblewrap 0.8.0-1
bzip2 1.0.8-5
c-ares 1.27.0-1
ca-certificates 20220905-1
ca-certificates-mozilla 3.99-1
ca-certificates-utils 20220905-1
cairo 1.18.0-2
cairomm 1.14.5-1
canon-pixma-ts5055-complete 6.40-1
cantarell-fonts 1:0.303.1-1
cantor 24.02.0-3
cblas 3.12.0-3
cddlib 1:0.94m-1
cdparanoia 10.2-9
cfitsio 1:4.4.0-1
chromaprint 1.5.1-7
chromium 123.0.6312.46-1
cifs-utils 7.0-3
clang 17.0.6-1
cliphist 1:0.5.0-1
cliquer 1.22-1
cmake 3.28.3-1
colord 1.4.7-2
colord-gtk-common 0.3.0-2
colord-gtk4 0.3.0-2
colord-sane 1.4.7-2
compiler-rt 17.0.6-1
confuse 3.3-4
coreutils 9.4-3
cppdap 1.58.0-1
cracklib 2.9.11-1
cryptsetup 2.7.1-1
cups 1:2.4.7-2
cups-filters 2.0.0-1
cups-pdf 3.0.1-7
cups-pk-helper 0.2.7-1
curl 8.6.0-3
cython 3.0.9-1
dav1d 1.4.0-1
db5.3 5.3.28-4
dbus 1.14.10-2
dbus-broker 35-2
dbus-broker-units 35-2
dbus-glib 0.112-3
dbus-python 1.3.2-2
dconf 0.40.0-2
ddcutil 2.1.4-1
debugedit 5.0-5
dee 1.2.7-14
default-cursors 2-1
desktop-file-utils 0.27-1
device-mapper 2.03.23-3
diffutils 3.10-1
djvulibre 3.5.28-5
dmidecode 3.5-1
docbook-xml 4.5-9
docbook-xsl 1.79.2-7
dotnet-host 8.0.3.sdk103-1
dotnet-runtime 8.0.3.sdk103-1
double-conversion 3.3.0-1
duktape 2.7.0-6
dvisvgm 3.2.2-1
e-antic 2.0.2-2
e2fsprogs 1.47.0-2
ecl 23.9.9-1
eclib 20231212-2
editorconfig-core-c 0.12.6-1
efibootmgr 18-3
efivar 39-1
electron 1:29-1
electron29 29.1.4-1
enchant 2.6.5-1
evince 45.0-1
exiv2 0.28.2-1
exo 4.18.0-1
expat 2.6.2-1
extra-cmake-modules 6.0.0-1
faac 1.30-4
faad2 2.11.1-1
fakeroot 1.34-1
fcft 3.1.8-1
fd 9.0.0-2
ffcall 2.4-2
fflas-ffpack 2.5.0-1
ffmpeg 2:6.1.1-6
ffmpeg4.4 4.4.4-4
ffmpegthumbnailer 2.2.2-5
fftw 3.3.10-6
file 5.45-1
filesystem 2024.01.19-1
findutils 4.9.0-3
firefox 123.0.1-1
flac 1.4.3-1
flex 2.6.4-5
flint 3.1.1-1
fltk 1.3.9-1
fluidsynth 2.3.4-1
fontconfig 2:2.15.0-2
foot 1.16.2-2
fplll 5.4.5-1
freeglut 3.4.0-1
freetype2 2.13.2-1
fribidi 1.0.13-2
ftgl 2.4.0-2
fuse-common 3.16.2-1
fuse2 2.9.9-4
fuse3 3.16.2-1
fzf 0.48.0-1
gap 4.13.0-1
gawk 5.3.0-1
gc 8.2.6-1
gcc 13.2.1-5
gcc-libs 13.2.1-5
gcr 3.41.2-1
gcr-4 4.2.1-2
gd 2.3.3-7
gdb 14.2-1
gdb-common 14.2-1
gdbm 1.23-2
gdk-pixbuf2 2.42.10-2
gdm 45.0.1-1
gdm-settings 4.3-1
geoclue 2.7.1-2
geocode-glib-2 3.26.4-4
geocode-glib-common 3.26.4-4
gettext 0.22.4-1
gf2x 1.3.0-2
gfan 0.6.2-2
ghostscript 10.03.0-2
giac 1.9.0.93-1
giflib 5.2.2-1
girara 0.4.3-2
git 2.44.0-1
github-desktop-bin 3.3.8_linux2-1
givaro 4.2.0-1
gjs 2:1.78.4-1
glew 2.2.0-6
glib-networking 1:2.78.1-1
glib2 2.78.4-1
glib2-docs 2.78.4-1
glibc 2.39-1
glibmm 2.66.6-1
glibmm-2.68 2.78.1-1
glm 1.0.0-1
glpk 5.0-2
glslang 14.0.0-2
glu 9.0.3-1
glycin 0.1.2-2
gmp 6.3.0-1
gmp-ecm 7.0.5-1
gnome-autoar 0.4.4-1
gnome-backgrounds 45.0-1
gnome-bluetooth 3.34.5+r16+g61cfff1c-2
gnome-bluetooth-3.0 42.8-1
gnome-browser-connector 42.1-4
gnome-color-manager 3.36.0+r51+gcf7ee2b5-1
gnome-common 3.18.0-4
gnome-control-center 45.3-2
gnome-desktop 1:44.0-1
gnome-desktop-4 1:44.0-1
gnome-desktop-common 1:44.0-1
gnome-disk-utility 46.0-1
gnome-keyring 1:46.1-1
gnome-online-accounts 3.48.1-1
gnome-session 45.0-1
gnome-settings-daemon 45.1-1
gnome-shell 1:45.5-1
gnome-text-editor 45.3-1
gnome-themes-extra 3.28+r6+g45b1d457-1
gnome-tweaks 45.1-1
gnu-free-fonts 20120503-8
gnupg 2.4.5-1
gnutls 3.8.3-1
go 2:1.22.1-1
gobject-introspection 1.78.1-1
gobject-introspection-runtime 1.78.1-1
gopsuinfo 0.1.6-1
gopsuinfo-debug 0.1.6-1
govarnam-git 1.9.0.r23.g6856a92-1
govarnam-ibus-git 1:1.6.2.r3.g18e6d36-1
govarnam-schemes 1.8.0-1
gperftools 2.15-1
gpgme 1.23.2-1
